茂	cyouji_hhw_jinshu
䓬	cyouji_jibenlizi_lizi
蕃	cyouji_hhw_ting_fan
肟	cyouji_hhw_tangji_dan_wo
腙	cyouji_hhw_tangji_dan_zong
肼	cyouji_hhw_jing3
酰肼	cyouji_hhw_xianan
酰胺	cyouji_hhw_xianan
膦	cyouji_hhw_yansheng_lin
烃	cyouji_hhw_ting
芳烃	cyouji_hhw_ting_fx
芳香烃	cyouji_hhw_ting_fx
环烃	cyouji_hhw_ting_fx
脲	cyouji_hhw_danhuawu
醌	cyouji_hhw_tun
砜	cyouji_hhw_feng
胍	cyouji_hhw_danhuawu
胺	cyouji_hhw_an4
//酰	cyouji_hhw_
脒	cyouji_hhw_danhuawu
醚	cyouji_hhw_mi
冠醚	cyouji_hhw_mi
腈	cyouji_hhw_jing1
酞	cyouji_hhw_tai2
胂	cyouji_hhw_yansheng_shen4
氮宾	cyouji_hhw_danhuawu
卡宾	cyouji_hhw_danhuawu
酮	cyouji_hhw_tong
酯	cyouji_hhw_zhi
螨酯	cyouji_hhw_zhi
烷	cyouji_hhw_ting_wan
烷烃	cyouji_hhw_ting_wan
熳	cyouji_hhw_ting_man
烯	cyouji_hhw_ting_xi
烯烃	cyouji_hhw_ting_xi
炔	cyouji_hhw_ting_que
炔烃	cyouji_hhw_ting_que
苯	cyouji_hhw_ting_fx
芬	cyouji_hhw_ting_fx
醇	cyouji_hhw_chun
肌醇	cyouji_hhw_chun
酚	cyouji_hhw_fen
醛	cyouji_hhw_quan
三棱烷	cyouji_hhw_ting_wan
立方烷	cyouji_hhw_ting_wan
五棱烷	cyouji_hhw_ting_wan
金刚烷	cyouji_hhw_ting_wan
茚烷	cyouji_hhw_ting_wan
茚满	cyouji_hhw_ting_wan
富烯	cyouji_hhw_ting_fx
茚	cyouji_hhw_ting_fx
萘	cyouji_hhw_ting_fx
薁	cyouji_hhw_ting_fx
苊	cyouji_hhw_ting_fx
芴	cyouji_hhw_ting_fx
菲	cyouji_hhw_ting_fx
蒽	cyouji_hhw_ting_fx
苯芴	cyouji_hhw_ting_fx
荧蒽	cyouji_hhw_ting_fx
苊菲	cyouji_hhw_ting_fx
苊蒽	cyouji_hhw_ting_fx
芘	cyouji_hhw_ting_fx
苣	cyouji_hhw_ting_fx
昴苯	cyouji_hhw_ting_fx
苉	cyouji_hhw_ting_fx
苝	cyouji_hhw_ting_fx
荭	cyouji_hhw_ting_fx
蒄	cyouji_hhw_ting_fx
锥苯	cyouji_hhw_ting_fx
卵苯	cyouji_hhw_ting_fx
唑	cyouji_hhw_za_qhw_zahuan
嗪	cyouji_hhw_za_qhw_zahuan
啶	cyouji_hhw_za_qhw_zahuan
唑烷	cyouji_hhw_za_qhw_zahuan
唑啉	cyouji_hhw_za_qhw_zahuan
噻烷	cyouji_hhw_za_qhw_zahuan
噻吩	cyouji_hhw_za_qhw_zahuan
呋喃	cyouji_hhw_za_qhw_zahuan
吡咯	cyouji_hhw_za_qhw_zahuan
咪唑	cyouji_hhw_za_qhw_zahuan
吡唑	cyouji_hhw_za_qhw_zahuan
吡喃	cyouji_hhw_za_qhw_zahuan
吡啶	cyouji_hhw_za_qhw_zahuan
吡嗪	cyouji_hhw_za_qhw_zahuan
嘧啶	cyouji_hhw_za_qhw_zahuan
哒嗪	cyouji_hhw_za_qhw_zahuan
咪唑啉	cyouji_hhw_za_qhw_zahuan
吡唑啉	cyouji_hhw_za_qhw_zahuan
三嗪	cyouji_hhw_za_qhw_zahuan
噁嗪	cyouji_hhw_za_qhw_zahuan
噻嗪	cyouji_hhw_za_qhw_zahuan
吡咯烷	cyouji_hhw_za_qhw_zahuan
咪唑烷	cyouji_hhw_za_qhw_zahuan
吡唑烷	cyouji_hhw_za_qhw_zahuan
吗啉	cyouji_hhw_za_qhw_zahuan
哌啶	cyouji_hhw_za_qhw_zahuan
哌嗪	cyouji_hhw_za_qhw_zahuan
苯并[c]呋喃	cyouji_hhw_za_qhw_zahuan
异苯并呋喃	cyouji_hhw_za_qhw_zahuan
异色烯	cyouji_hhw_za_qhw_zahuan
色烯	cyouji_hhw_za_qhw_zahuan
二苯并[b,e]吡喃	cyouji_hhw_za_qhw_zahuan
呫吨	cyouji_hhw_za_qhw_zahuan
氧硫杂蒽	cyouji_hhw_za_qhw_zahuan
吩噁噻	cyouji_hhw_za_qhw_zahuan
1H-吡咯嗪	cyouji_hhw_za_qhw_zahuan
吲哚嗪	cyouji_hhw_za_qhw_zahuan
异吲哚	cyouji_hhw_za_qhw_zahuan
3H-吲哚	cyouji_hhw_za_qhw_zahuan
吲哚	cyouji_hhw_za_qhw_zahuan
1H-苯并吡唑	cyouji_hhw_za_qhw_zahuan
1H-吲唑	cyouji_hhw_za_qhw_zahuan
嘌呤	cyouji_hhw_za_qhw_zahuan
4H-喹嗪	cyouji_hhw_za_qhw_zahuan
异喹啉	cyouji_hhw_za_qhw_zahuan
喹啉	cyouji_hhw_za_qhw_zahuan
苯并[d]哒嗪	cyouji_hhw_za_qhw_zahuan
酞嗪	cyouji_hhw_za_qhw_zahuan
1,8-二氮杂萘	cyouji_hhw_za_qhw_zahuan
吡啶并[2,3-b]吡啶	cyouji_hhw_za_qhw_zahuan
萘啶	cyouji_hhw_za_qhw_zahuan
苯并[b]吡嗪	cyouji_hhw_za_qhw_zahuan
喹喔啉	cyouji_hhw_za_qhw_zahuan
苯并嘧啶	cyouji_hhw_za_qhw_zahuan
喹唑啉	cyouji_hhw_za_qhw_zahuan
苯并[c]哒嗪	cyouji_hhw_za_qhw_zahuan
曾嗪	cyouji_hhw_za_qhw_zahuan
蝶啶	cyouji_hhw_za_qhw_zahuan
4aH-咔唑	cyouji_hhw_za_qhw_zahuan
咔唑	cyouji_hhw_za_qhw_zahuan
吡啶并[3,4-b]吲哚	cyouji_hhw_za_qhw_zahuan
β-咔啉	cyouji_hhw_za_qhw_zahuan
苯并[c]喹啉	cyouji_hhw_za_qhw_zahuan
菲啶	cyouji_hhw_za_qhw_zahuan
二苯并[b,e]吡啶	cyouji_hhw_za_qhw_zahuan
吖啶	cyouji_hhw_za_qhw_zahuan
萘并[1,8-de]嘧啶	cyouji_hhw_za_qhw_zahuan
白啶	cyouji_hhw_za_qhw_zahuan
1,7-二氮杂菲	cyouji_hhw_za_qhw_zahuan
菲咯啉	cyouji_hhw_za_qhw_zahuan
二苯并[b,e]吡嗪	cyouji_hhw_za_qhw_zahuan
吩嗪	cyouji_hhw_za_qhw_zahuan
氮砷杂蒽	cyouji_hhw_za_qhw_zahuan
二苯并砷嗪	cyouji_hhw_za_qhw_zahuan
吩砷嗪	cyouji_hhw_za_qhw_zahuan
吩碲嗪	cyouji_hhw_za_qhw_zahuan
吩硒嗪	cyouji_hhw_za_qhw_zahuan
硫氮杂蒽	cyouji_hhw_za_qhw_zahuan
二苯并[b,e]噻嗪	cyouji_hhw_za_qhw_zahuan
吩噻嗪	cyouji_hhw_za_qhw_zahuan
氧氮杂蒽	cyouji_hhw_za_qhw_zahuan
二苯并[b,e]嗪	cyouji_hhw_za_qhw_zahuan
吩噁嗪	cyouji_hhw_za_qhw_zahuan
异色烷	cyouji_hhw_za_qhw_zahuan
色烷	cyouji_hhw_za_qhw_zahuan
吲哚啉	cyouji_hhw_za_qhw_zahuan
异吲哚啉	cyouji_hhw_za_qhw_zahuan
奎宁啶	cyouji_hhw_za_qhw_zahuan
	
硼烷	cyouji_hhw_za_qhw_zayuansu
锑烷	cyouji_hhw_za_qhw_zayuansu
铝烷	cyouji_hhw_za_qhw_zayuansu
铋烷	cyouji_hhw_za_qhw_zayuansu
镓烷	cyouji_hhw_za_qhw_zayuansu
氧烷	cyouji_hhw_za_qhw_zayuansu
铟烷	cyouji_hhw_za_qhw_zayuansu
硫烷	cyouji_hhw_za_qhw_zayuansu
铊烷	cyouji_hhw_za_qhw_zayuansu
硫烷	cyouji_hhw_za_qhw_zayuansu
甲烷	cyouji_hhw_za_qhw_zayuansu
硫烷	cyouji_hhw_za_qhw_zayuansu
硅烷	cyouji_hhw_za_qhw_zayuansu
硒烷	cyouji_hhw_za_qhw_zayuansu
锗烷	cyouji_hhw_za_qhw_zayuansu
碲烷	cyouji_hhw_za_qhw_zayuansu
锡烷	cyouji_hhw_za_qhw_zayuansu
钋烷	cyouji_hhw_za_qhw_zayuansu
铅烷	cyouji_hhw_za_qhw_zayuansu
氟烷	cyouji_hhw_za_qhw_zayuansu
氮烷	cyouji_hhw_za_qhw_zayuansu
氯烷	cyouji_hhw_za_qhw_zayuansu
溴烷	cyouji_hhw_za_qhw_zayuansu
磷烷	cyouji_hhw_za_qhw_zayuansu
碘烷	cyouji_hhw_za_qhw_zayuansu
砷烷	cyouji_hhw_za_qhw_zayuansu
锑烷	cyouji_hhw_za_qhw_zayuansu
砹烷	cyouji_hhw_za_qhw_zayuansu
甲烷	cyouji_hhw_ting_wan
乙烷	cyouji_hhw_ting_wan
丙烷	cyouji_hhw_ting_wan
丁烷	cyouji_hhw_ting_wan
戊烷	cyouji_hhw_ting_wan
己烷	cyouji_hhw_ting_wan
庚烷	cyouji_hhw_ting_wan
辛烷	cyouji_hhw_ting_wan
壬烷	cyouji_hhw_ting_wan
癸烷	cyouji_hhw_ting_wan
十一烷	cyouji_hhw_ting_wan
十二烷	cyouji_hhw_ting_wan
十三烷	cyouji_hhw_ting_wan
二十烷	cyouji_hhw_ting_wan
二十一烷	cyouji_hhw_ting_wan
二十二烷	cyouji_hhw_ting_wan
二十三烷	cyouji_hhw_ting_wan
三十烷	cyouji_hhw_ting_wan
四十烷	cyouji_hhw_ting_wan
百烷	cyouji_hhw_ting_wan
